"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2019-09-10T23:15:48+00:00","113-7125996-5126628","DS-0145","B07JY831NJ","X001XQUSD5","Homend Garage Door Seal Bottom Rubber Weatherproofing Threshold Buffering Replacement Black (3/8 Inch T-End, 20FT Long)","1","LAS2","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR792794656",
"2019-09-10T22:43:56+00:00","111-1913259-6251469","CA-0342","B07Q3RCYHZ","X002407A7L","DasMarine Kayak Hand Pump, 16"" Portable Lightweight Kayak Hand Pump Floating Hand Bilge Pump Professional Canoe Accessories for Kayak Rescue Outdoor S","1","LEX2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR787503025",
"2019-09-10T21:05:50+00:00","702-7368248-7945002","JL-0027F2","B07GS2V7GH","X001VI9EVR","Homend 20 Slots Vintage Style Watch/Jewelry Display Storage Box Case Drawer Organizer Showcase, Glass Top for Easy Viewing with Lock & Key (20 Grid) B","1","YYZ1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN271750756",
"2019-09-10T20:59:24+00:00","112-8490718-7026660","JK-0190","B07CKBGP18","X001RELM0B","Homend Adjustable Dog Wheelchair (XS), Weight 8.8 to 22 lbs, Hip Height:7.9""-13.4"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leas","1","LEX2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR787991499",
"2019-09-10T20:13:28+00:00","112-3974596-0422661","JK-0283","B07L4SGY3Z","X001Z3RTGZ","Homend Adjustable Dog Wheelchair (S), Weight 22 to 44 lbs, Hip Height:10.6""-17.32"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leas","1","CVG2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Repackaged Successfully","LPNRR769656505",
"2019-09-10T15:16:46+00:00","702-5110367-6515421","SA-0015F2","B07HSZ5NQJ","X001WP3QNV","Homend DC12V 12inch Stroke Linear Actuator with Mounting Bracket 900N(225lbs) Maximum Lift 10mm/s for Recliner TV Table Lift Massage Bed Electric Sofa","1","YYZ1","SELLABLE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN257351996","Better product info would help ie spec sheet."
"2019-09-10T14:17:42+00:00","112-7145401-7321033","JL-0243","B01L6F744M","X001TODICJ","Yaekoo Bartender Tool Cocktail Margarita Glass Rimmer 3 Tier Sugar Salt Rim Lime","1","LEX1","CUSTOMER_DAMAGED","MISSED_ESTIMATED_DELIVERY","Unit returned to inventory","LPNRR794496015",
"2019-09-10T14:17:42+00:00","112-7145401-7321033","JL-0243","B01L6F744M","X001TODICJ","Yaekoo Bartender Tool Cocktail Margarita Glass Rimmer 3 Tier Sugar Salt Rim Lime","1","LEX1","CUSTOMER_DAMAGED","MISSED_ESTIMATED_DELIVERY","Unit returned to inventory","LPNRR794496014",
"2019-09-10T13:28:01+00:00","112-7035820-4683425","MO-0002","B07PY6GZMC","X0023OBCDB","Homend 4-Pack 2-inch Antique Copper Ball Caster for Sofa Furniture,Bench & Ottoman Using for Hardwood Floor","1","IND8","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNN282521657",
"2019-09-10T13:04:30+00:00","112-2975963-4794617","DS-0143","B07JZ52YHK","X001XQI78X","Homend Garage Door Seal Bottom Rubber Weatherproofing Threshold Buffering Replacement Black (3/8 Inch T-End,10FT Long)","1","LEX1","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Reimbursed","LPNRR786152525",
"2019-09-10T13:01:49+00:00","701-1227655-9268260","JL-0028F2","B07GS33XYJ","X001VE1L5D","Homend 24 Slot PU Leather Watch Box/Watch Case/Jewelry Display Storage Organizer Box with Key&Lock, Glass Top","1","YYZ1","SELLABLE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN271742120","Product is mediocre at best, messy and smelly.  Product says glass lid, came with plastic"
"2019-09-10T12:38:03+00:00","111-9911171-8103447","RA-0009","B07CTK71TX","X001RSSW19","Homend Universal Grill Electric Replacement Stainless Steel Rotisserie Motor 110 Volt 4 Watt On/Off Switch- 50 lb. Load","1","LEX2","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR787715234",
"2019-09-10T11:43:15+00:00","111-2577724-0729842","DS-0145","B07JY831NJ","X001XQUSD5","Homend Garage Door Seal Bottom Rubber Weatherproofing Threshold Buffering Replacement Black (3/8 Inch T-End, 20FT Long)","1","LEX2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRR751494646",
"2019-09-10T10:24:40+00:00","113-3522177-8769030","JK-0195B","B07HFQ53V1","X001WBCBLX","Homend Luxury 2 + 0 Dual Watch Winder for Automatic Watches, Self Winding Watch Rotator Box (Piano Paint + Tempered Glass)","1","TUS1","CUSTOMER_DAMAGED","MISSING_PARTS","Unit returned to inventory","LPNPM046574647",
"2019-09-10T09:55:38+00:00","111-0951691-0259423","YI-0369A","B07QGBCJWV","X0023S5AS5","DasMarine 20"" Anodized Aluminum Mounting Track for Rod Holders, Downriggers and Other Components for Trolling Fishing (20 Inch. Length)","1","LAS2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRR792132924",
"2019-09-10T06:47:08+00:00","112-7570296-5061046","NA-0018-A","B07MHCZDWJ","X0024CBTFX","Homend Furniture Lifter and 4 Packs 3.9""x3.15"" Furniture Slides Kit, Heavy Furniture Roller Move Tools Max Up for 150KGS/330 LBS, 360 Degree Rotatable","1","IND8","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNN265271418",
"2019-09-10T06:13:05+00:00","114-7606802-8085025","DS-0072-12","B07MRFWCVV","X00201FO77","Homend 12 Pack Cabinet & Door Magnetic Latch Catch Cabinet Hardware Fittings","1","LEX1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRR785836515",
"2019-09-10T05:16:57+00:00","112-8310655-2997853","JJ-0331","B07K3TYSPT","X001XYFZYT","Homend 3-tier White Ceramic Cake Stand Dessert Stand-Cupcake Stand-Tea Party Serving Platter, home decor (Wavy Flower Edge, Silver Handle)","1","LEX1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR786941055",
"2019-09-10T05:16:51+00:00","112-8310655-2997853","JJ-0331","B07K3TYSPT","X001XYFZYT","Homend 3-tier White Ceramic Cake Stand Dessert Stand-Cupcake Stand-Tea Party Serving Platter, home decor (Wavy Flower Edge, Silver Handle)","1","LEX1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR786934949",
"2019-09-10T05:16:51+00:00","112-8310655-2997853","JJ-0331","B07K3TYSPT","X001XYFZYT","Homend 3-tier White Ceramic Cake Stand Dessert Stand-Cupcake Stand-Tea Party Serving Platter, home decor (Wavy Flower Edge, Silver Handle)","1","LEX1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR786934948",
"2019-09-10T01:57:05+00:00","114-9360203-0737041","GR-0093-10-B","B07RYKMNTK","X0026HMM2Z","DasMarine 10PCS Adjustable Self-Locking Buckle Toggle Latch Clamp,Adjustable Cabinet Box Lever Handle Toggle Catch Latch Lock Clamp Hasp","1","LEX1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNRR785832435",
"2019-09-10T01:18:56+00:00","114-0071049-1089066","JL-028-6","B019JSKNVO","X001TW7TSF","9milelake Watch Box 24 Slots Men Black PU Leather Display Clear Top Jewelry Case Organizer","1","LEX2","DEFECTIVE","UNDELIVERABLE_REFUSED","Unit returned to inventory","LPNRR784447634",
"2019-09-10T00:39:22+00:00","111-8977860-8214654","CA-0275","B07HQBN2NY","X001WM8R8X","DasMarine 12V Automatic Submersible Boat Bilge Water Pump 760GPH Built-in Auto Float Switch (760GPH)","1","LEX1","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR786964979","Output connection not a 3/4 inch hose barb as described.  3/4 hose will not fit"
"2019-09-09T23:42:01+00:00","111-1889687-8176207","SA-0068","B07RYLZQQY","X0026IP7SF","Homend DC 12V 16 Inch Stroke Linear Actuator with Mounting Bracket 400MM 6000N/1320LB Maximum Load for Recliner TV Table Lift Massage Bed Electric Sof","1","CVG2","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRR775153217",
"2019-09-09T22:55:03+00:00","113-4868118-6134651","JL-0243","B01L6F744M","X001TODICJ","Yaekoo Bartender Tool Cocktail Margarita Glass Rimmer 3 Tier Sugar Salt Rim Lime","1","LEX1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR786168767",
"2019-09-09T17:10:13+00:00","111-1107215-6074623","DS-0025","B07CK1DKNY","X001RELRPL","Homend Sink Top Air Switch Kit, Garbage Disposal Air Switch Sink Top Button Single Outlet Single Control for Dishwasher","1","LEX1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNRR794425350",
"2019-09-09T17:10:13+00:00","111-1107215-6074623","DS-0025","B07CK1DKNY","X001RELRPL","Homend Sink Top Air Switch Kit, Garbage Disposal Air Switch Sink Top Button Single Outlet Single Control for Dishwasher","1","LEX1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNRR794425352",
"2019-09-09T17:10:13+00:00","111-1107215-6074623","DS-0025","B07CK1DKNY","X001RELRPL","Homend Sink Top Air Switch Kit, Garbage Disposal Air Switch Sink Top Button Single Outlet Single Control for Dishwasher","1","LEX1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNRR794425351",
"2019-09-09T17:10:13+00:00","111-1107215-6074623","DS-0025","B07CK1DKNY","X001RELRPL","Homend Sink Top Air Switch Kit, Garbage Disposal Air Switch Sink Top Button Single Outlet Single Control for Dishwasher","1","LEX1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNRR794425354",
"2019-09-09T17:10:13+00:00","111-1107215-6074623","DS-0025","B07CK1DKNY","X001RELRPL","Homend Sink Top Air Switch Kit, Garbage Disposal Air Switch Sink Top Button Single Outlet Single Control for Dishwasher","1","LEX1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNRR794425349",
"2019-09-09T17:10:13+00:00","111-1107215-6074623","DS-0025","B07CK1DKNY","X001RELRPL","Homend Sink Top Air Switch Kit, Garbage Disposal Air Switch Sink Top Button Single Outlet Single Control for Dishwasher","1","LEX1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNRR794425353",
"2019-09-09T17:10:13+00:00","111-1107215-6074623","DS-0025","B07CK1DKNY","X001RELRPL","Homend Sink Top Air Switch Kit, Garbage Disposal Air Switch Sink Top Button Single Outlet Single Control for Dishwasher","1","LEX1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNRR794425358",
"2019-09-09T17:10:13+00:00","111-1107215-6074623","DS-0025","B07CK1DKNY","X001RELRPL","Homend Sink Top Air Switch Kit, Garbage Disposal Air Switch Sink Top Button Single Outlet Single Control for Dishwasher","1","LEX1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNRR794425357",
"2019-09-09T17:10:13+00:00","111-1107215-6074623","DS-0025","B07CK1DKNY","X001RELRPL","Homend Sink Top Air Switch Kit, Garbage Disposal Air Switch Sink Top Button Single Outlet Single Control for Dishwasher","1","LEX1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNRR794425348",
"2019-09-09T17:10:13+00:00","111-1107215-6074623","DS-0025","B07CK1DKNY","X001RELRPL","Homend Sink Top Air Switch Kit, Garbage Disposal Air Switch Sink Top Button Single Outlet Single Control for Dishwasher","1","LEX1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNRR794425355",
"2019-09-09T15:41:33+00:00","702-5274686-2921827","DS-0076B6","B07G46TW8C","X001UO5QIH","Homend Sponge Neoprene With Adhesive Foam Rubber Sheet 1/4"" Thick X 12"" Wide X 54"" Long, Cut to multiple dimensions and lengths - DIY, Gaskets, Cospla","1","YYZ1","SELLABLE","NOT_COMPATIBLE","Unit returned to inventory","LPNN206185819",
"2019-09-09T15:19:42+00:00","114-2578186-2491406","AB-0796","B07T1N674T","X0027P8LFX","Homend Set of 3 Brass Gold Metal Taper Candle Holders Candlestick Holders, Vintage & Modern Decorative Centerpiece Candlestick Holders for Table Mante","1","LAS2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR796024965",
"2019-09-09T15:03:18+00:00","702-8980923-1011426","JJ-0278B6","B07F8LZDJJ","X001TTASNL","Homend 3 Tier Round Serving Tray Platters, Appetizer or Dessert Cupcakes and Cake Stand Great for Weddings, Tea Party, Holiday Dinners, or Birthday Pa","1","YYZ1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNN267241091",
"2019-09-09T14:18:40+00:00","112-2998855-0178605","CA-0276","B07HQL4SZ8","X001WMWBA3","DasMarine 12V Automatic Submersible Boat Bilge Water Pump 1100GPH Built-in Auto Float Switch (1100GPH)","1","LAS2","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRR792193203",
"2019-09-09T14:08:53+00:00","111-9041889-9188258","SA-0012","B07HP2RZJ8","X001WHUN6R","Homend DC12V 6inch Stroke Linear Actuator with Mounting Bracket 900N(225lbs) Maximum Lift 10mm/s for Recliner TV Table Lift Massage Bed Electric Sofa","1","LEX2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR787334774",
"2019-09-09T14:08:53+00:00","111-9041889-9188258","SA-0012","B07HP2RZJ8","X001WHUN6R","Homend DC12V 6inch Stroke Linear Actuator with Mounting Bracket 900N(225lbs) Maximum Lift 10mm/s for Recliner TV Table Lift Massage Bed Electric Sofa","1","LEX2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR787334775",
"2019-09-09T13:31:49+00:00","702-1051821-7205810","JJ-0278B6","B07F8LZDJJ","X001TTASNL","Homend 3 Tier Round Serving Tray Platters, Appetizer or Dessert Cupcakes and Cake Stand Great for Weddings, Tea Party, Holiday Dinners, or Birthday Pa","1","YYZ1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNN267353827",
"2019-09-09T12:50:50+00:00","701-3061242-4179461","AB-0499-01B6","B07F8QBYS2","X001TU04UR","Homend Dresser Crystal Knobs / 12 PCS 30MM Crystal Clear Glass Cabinet Dresser Knobs Diamond Shape Drawer Door Chrome Glass Cabinet Knobs Pull Handles","1","YYZ1","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNN271751239",
"2019-09-09T12:05:14+00:00","114-4998281-0917860","DS-0125-40","B07KTQYB8Y","X001YRJGG3","Homend 40pack Stainless Steel Kitchen Cabinet Handles T Bar Pull; Kitchen Cabinet Hardware, Dresser Drawer Handles (8"" Overall Length; Hole Centers:5i","1","LEX1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRR786749699",
"2019-09-09T11:56:25+00:00","111-7176104-0026637","JK-0367","B07PZB1CV3","X0023LB94L","Homend Adjustable Dog Wheelchair Four Wheels (XS), Weight 8.8 to 22 lbs, Hip Height:7.9""-13.4"", Hind Legs Rehabilitation, Free Belly Band Protect Spin","1","LEX1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR786951763",
"2019-09-09T11:28:37+00:00","114-8314995-4910664","DS-0021","B07CP644DT","X001RJEI7P","Homend Seed Sprouter Tray, 5 Pack Seed Germination Tray BPA Free Nursery Tray for Seedling Planting Great for for Garden Home Office","1","IND8","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNN279395811","Tried to sprout micro greens, holes were too large for some seeds and the seeds that were large enough not to fall through didn’t sprout."
"2019-09-09T11:19:46+00:00","702-5380998-5591457","DS-0210F2","B07QWK8C9R","X0024LV8AZ","Homend 110V Mini Electric Stove 500W Portable Countertop 5.5 inch Hot Plate Multifunction Home Coffee Tea Water Heater Home Heater Cooking Plate US Pl","1","YYZ1","DEFECTIVE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN271755296","It starts to smoke as I plugged it in and it looks like it's about to explode. Definitely not something I would like to have in my house."
"2019-09-09T08:30:35+00:00","112-7468545-4667466","JJ-0321-BKA","B07MJ9BL1J","X00202KWWX","Homend 110V Electric Motorized Rotating Turntable Display Stand, 18inch/45cm Diameter, 110pounds Load, 360 Degree Rotating in Either Direction, for Ph","1","CVG2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRR776984996","Turn table does not work..."
"2019-09-09T00:27:04+00:00","112-0992941-7955421","JK-0284","B07L4S8JTX","X001Z4J0MZ","Homend Adjustable Dog Wheelchair (M), Weight 33 to 55 lbs, Hip Height:16""-20"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leash (M)","1","CVG2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRR769632600",
"2019-09-08T23:46:26+00:00","112-5482007-1649844","DS-0124-40","B07KTSY794","X001YRHX0J","Homend 40Pack Stainless Steel Kitchen Cabinet Handles T Bar Pull; Kitchen Cabinet Hardware, Dresser Drawer Handles (6"" Overall Length;Hole Centers:3-3","1","LEX1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR786388657",
"2019-09-08T22:26:46+00:00","112-3065527-3517068","DS-0107-02","B07MHGCH2V","X0020C49OZ","DasMarine 2 Pack M50 Lifting Double Pulley Block 304 Stainless Steel Crane Swivel Hook Double Pulley Roller Loading (M50 Double Pulley; 2 Pack)","1","LEX1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNRR785890576",
"2019-09-08T22:15:50+00:00","702-4881789-4305051","DS-0164-04F2","B07MC3R91S","X0020CZDNV","Homend 4 Pack Plastic Sofa Legs, Sofa Legs Replacement Furniture Sofa Legs with Mounting Plates Screws Chair/Couch/Loveseat/Cabinet M8 Thread (Metric","1","YYC1","SELLABLE","NOT_COMPATIBLE","Unit returned to inventory","LPNN273325722","Doesn't fit couch unfortunately"
"2019-09-08T21:08:37+00:00","701-5551873-8199464","JL-0027F2","B07GS2V7GH","X001VI9EVR","Homend 20 Slots Vintage Style Watch/Jewelry Display Storage Box Case Drawer Organizer Showcase, Glass Top for Easy Viewing with Lock & Key (20 Grid) B","1","YYC1","SELLABLE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN273327576",
"2019-09-08T20:48:25+00:00","112-1676750-0093009","SA-0018","B07HNT283R","X001WHUTC5","Homend DC12V 18inch Stroke Linear Actuator with Mounting Bracket 900N(225lbs) Maximum Lift 10mm/s for Recliner TV Table Lift Massage Bed Electric Sofa","1","CVG2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR764454539",
"2019-09-08T20:09:55+00:00","111-7720030-4094617","JK-0285","B07L4S2TF6","X001Z4J0YN","Homend Adjustable Dog Wheelchair (L), Weight 44 to 99 lbs, Hip Height:20.4""-24.4"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leash","1","CVG2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRR764587810",
"2019-09-08T17:01:56+00:00","113-4398176-1521838","CA-0364","B07KP791D2","X001YIFJBN","DasMarine 3000 GPH 12v Boat Marine Plumbing Electric Bilge Pump 1 1/2""(40MM) Outlet 12 AMP 15 AMP Fuse","1","LEX1","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNN260245269","I believe this pump has been used. It was dirty, the leads had been cut off and the motor/pump is locked up."
"2019-09-08T16:57:09+00:00","112-6865571-2869845","JK-0190","B07CKBGP18","X001RELM0B","Homend Adjustable Dog Wheelchair (XS), Weight 8.8 to 22 lbs, Hip Height:7.9""-13.4"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leas","1","LEX1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR786139410",
"2019-09-08T16:20:51+00:00","114-8662415-3166658","WI-0065-BK","B07CTKN3LS","X001RROQRT","Homend Bookends Metal Iron Adjustable Books Holder Stand Desk Heavy Duty Nonskid Bookend (Black, Small)","1","IND8","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNN259270770","Doesn't work at all. It just slides open when books are placed inside it. Doesn't contain books."
"2019-09-08T14:43:24+00:00","702-0469618-9609815","DS-0083B6","B07FXLY44L","X001UGSX0N","Homend Universal Garage Door Threshold Seal DIY Weather Stripping 1/2 inch Thick 16 Feet Length","1","YYZ1","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNN270250279",
"2019-09-08T14:42:43+00:00","702-7737280-0427435","GR-0114F2","B07MSCHS3J","X00202M2H1","Homend Super Turbo Diamond Cup Wheel 4-1/2 Inch, Grinding Cup Wheel Disc 18 Segs Masonry Stone Cutting Tool for Concrete Angle Grinder (115 x 22mm)","1","YYZ1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN273249433",
"2019-09-08T14:25:26+00:00","702-4881789-4305051","DS-0164-04F2","B07MC3R91S","X0020CZDNV","Homend 4 Pack Plastic Sofa Legs, Sofa Legs Replacement Furniture Sofa Legs with Mounting Plates Screws Chair/Couch/Loveseat/Cabinet M8 Thread (Metric","1","YYC1","SELLABLE","NOT_COMPATIBLE","Unit returned to inventory","LPNN277713946","Doesn't fit couch unfortunately"
"2019-09-08T14:20:19+00:00","111-7197202-4011442","JK-0190","B07CKBGP18","X001RELM0B","Homend Adjustable Dog Wheelchair (XS), Weight 8.8 to 22 lbs, Hip Height:7.9""-13.4"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leas","1","LEX2","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRR785535829",
"2019-09-08T12:58:13+00:00","113-9846087-4536208","DS-0155","B07MC2L9N6","X0020AJLIV","Homend 25FT EPDM Dual Durometer Rubber/Metal Carrier Flap Seal, Fits Edge 0.050"" - 0.090"", 0.925"" Flap Length","1","LEX1","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRR787009675","Flap is the wrong size, unfortunately does not work for me."
"2019-09-08T12:15:22+00:00","702-1171711-9012228","JK-0284F2","B07R22CB2G","X0024IRKCX","Homend Adjustable Dog Wheelchair, 5 Sizes for Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leash (M)","1","YYZ1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN301088477",
"2019-09-08T11:41:55+00:00","701-9273026-6779447","DS-0085B6","B07G44NKT6","X001UO2BLR","Homend Non-Slip Stair Treads Tape (15-Pack 32"" x 4""), Anti Slip Pre-Cut Non-Skid Clear Adhesive Grip Safety Strips for Indoor and Outdoor Stairs with","1","YYZ1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN257352639",
"2019-09-08T05:19:12+00:00","112-9337147-5374624","CA-0276","B07HQL4SZ8","X001WMWBA3","DasMarine 12V Automatic Submersible Boat Bilge Water Pump 1100GPH Built-in Auto Float Switch (1100GPH)","1","LEX1","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRR786431939",
"2019-09-08T05:19:12+00:00","112-9337147-5374624","CA-0276","B07HQL4SZ8","X001WMWBA3","DasMarine 12V Automatic Submersible Boat Bilge Water Pump 1100GPH Built-in Auto Float Switch (1100GPH)","1","LEX1","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRR786431940",
"2019-09-08T05:19:12+00:00","112-9337147-5374624","CA-0276","B07HQL4SZ8","X001WMWBA3","DasMarine 12V Automatic Submersible Boat Bilge Water Pump 1100GPH Built-in Auto Float Switch (1100GPH)","1","LEX1","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRR786431938",
"2019-09-07T23:36:42+00:00","112-9651881-8149835","PA-0131","B07H3N29T1","X001VS4B6P","Homend Foldable Heavy Duty Wall Mount Bike Repair Stand Bicycle Maintenance Rack Workstand","1","LEX2","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNRR787123247",
"2019-09-07T22:30:41+00:00","114-7728641-2187444","JJ-0382-BK","B07QVCXLSV","X0024HCGKP","Homend 110V Electric Motorized Rotating Turntable Display Stand with LED, 10inch/25cm Diameter 44lb Load, 360 Degree Rotating in Either Direction, for","1","LEX1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR789682742",
"2019-09-07T21:12:16+00:00","701-1817449-3273824","AB-0537-08F2","B07MHHSMZ6","X0020HPFAH","Homend 8pcs Cast Iron Wall Mount Bottle Openers, Mounting Hardware Included, Vintage Rustic Bar(Wood Block is not Included)","1","YYZ1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN271743208",
"2019-09-07T19:46:53+00:00","112-2996888-5302666","JK-0266","B07JGQD275","X001XASIDX","Homend Single Watch Winder in Black Leather, Quiet Japanese Mabuchi Motor, Battery (not Included) Powered or AC Adapter","1","IND8","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNN259267469","Does not work when using batteries.  No adaptor plug was included."
"2019-09-07T19:16:45+00:00","114-7054453-9440269","JK-0284","B07L4S8JTX","X001Z4J0MZ","Homend Adjustable Dog Wheelchair (M), Weight 33 to 55 lbs, Hip Height:16""-20"", Hind Legs Rehabilitation, Free Belly Band Protect Spine, Free Leash (M)","1","CVG2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRR776958582",
"2019-09-07T18:19:14+00:00","701-4313756-1017052","DS-0073F2","B07JJXLM23","X001XAITI7","Homend Sponge Neoprene With Adhesive Foam Rubber Sheet 1/8"" Thick X 12"" Wide X 48"" Long, Cut to multiple dimensions and lengths - DIY, Gaskets, Cospla","1","YVR3","SELLABLE","NOT_COMPATIBLE","Unit returned to inventory","LPNN200671476",
"2019-09-07T17:11:05+00:00","114-6208717-3556230","DS-0049-50","B07DHHD64K","X001SS2U9D","DasMarine 50PCS Stainless Steel Protector Sleeves for 1/8"" Cable Railing, T316 Marine Grade","1","LEX1","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNRR786379597","I have 1/8"" cable system with 1/8"" swage ends, these do not accommodate the 1/8"" swage end, just does not fit."
"2019-09-07T17:11:05+00:00","114-6208717-3556230","DS-0049-50","B07DHHD64K","X001SS2U9D","DasMarine 50PCS Stainless Steel Protector Sleeves for 1/8"" Cable Railing, T316 Marine Grade","1","LEX1","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNRR786379596","I have 1/8"" cable system with 1/8"" swage ends, these do not accommodate the 1/8"" swage end, just does not fit."
"2019-09-07T17:11:05+00:00","114-6208717-3556230","DS-0049-50","B07DHHD64K","X001SS2U9D","DasMarine 50PCS Stainless Steel Protector Sleeves for 1/8"" Cable Railing, T316 Marine Grade","1","LEX1","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNRR786379595","I have 1/8"" cable system with 1/8"" swage ends, these do not accommodate the 1/8"" swage end, just does not fit."
"2019-09-07T17:11:05+00:00","114-6208717-3556230","DS-0049-50","B07DHHD64K","X001SS2U9D","DasMarine 50PCS Stainless Steel Protector Sleeves for 1/8"" Cable Railing, T316 Marine Grade","1","LEX1","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNRR786379598","I have 1/8"" cable system with 1/8"" swage ends, these do not accommodate the 1/8"" swage end, just does not fit."
